index,ingredients,output,changelog
12,"Tomatoes, Fresh Yellow Chile, Distilled Vinegar (From Corn), Salt, Onion, Spice","tomato, fresh yellow chile, distilled vinegar (from corn), salt, onion, spice",- tomatoes → tomato (singular)
13,"Sea Clams, Sea Clam Juice, Potatoes, Wheat Flour, Modified Corn Starch, Salt, Soybean Oil, Onions, Natural Clam Flavor, Celery, Xanthan Gum, Black Pepper","sea clam, sea clam juice, potato, wheat flour, modified corn starch, salt, soybean oil, onion, natural clam flavor, celery, xanthan gum, black pepper","- sea clams → sea clam (singular)
- potatoes → potato (singular)
- onions → onion (singular)"
14,"Roasted Peanuts (Peanuts, Peanut or Canola Oil, Salt), Sesame Sticks (Unbleached Wheat Flour, Sesame Seeds, Sunflower Oil, Salt, Beet Powder, Turmeric), Chili Crackers (Rice, Corn Starch, Soy Sauce[Water, Soybeans, Wheat, Salt], Brown Rice Syrup, Paprika, Onion Powder, Garlic Powder), Tamari Roasted Almonds (Almonds, Tamari Shoyu [Water, Wheat, Soybeans, Salt]), Salt","roasted peanut (peanut, peanut or canola oil, salt), sesame stick (unbleached wheat flour, sesame seed, sunflower oil, salt, beet powder, turmeric), chili cracker (rice, corn starch, soy sauce (water, soybean, wheat, salt), brown rice syrup, paprika, onion powder, garlic powder), tamari roasted almond (almond, tamari soy (water, wheat, soybean, salt)), salt","- roasted peanuts → roasted peanut (singular)
- peanuts → peanut (singular)
- sesame sticks → sesame stick (singular)
- sesame seeds → sesame seed (singular)
- chili crackers → chili cracker (singular)
- soybeans → soybean (singular)
- tamari roasted almonds → tamari roasted almond (singular)
- almonds → almond (singular)
- tamari shoyu → tamari soy (91%)
- soybeans → soybean (singular)"
15,"Organic Rolled Oats, Organic Evaporated Cane Juice, Organic Quinoa Flakes, Organic Raisins, Organic Expeller Pressed Canola Oil, Organic Mango, Organic Oat Bran, Organic Coconut","organic rolled oat, organic evaporated cane juice, organic quinoa flake, organic raisin, organic expeller pressed canola oil, organic mango, organic oat bran, organic coconut","- organic rolled oats → organic rolled oat (singular)
- organic quinoa flakes → organic quinoa flake (singular)
- organic raisins → organic raisin (singular)"
16,"Dry Roasted Almonds, Hatch Green Chile Seasoning (Organic Cheddar Cheese Powder [Organic Cheddar Cheese {Cultured Pasteurized Milk, Salt, Enzymes}, Organic Nonfat Milk,Organic Whey, Salt, Sodium Phosphate], Salt, Hatch Green Chile Pepper, Evaporated Cane Juice, Onion, Parsely, Natural Flavors,Garlic, Maltodextrin, Spices, Spices Extractives, Citric Acid), Expeller Pressed Canola Oil","dry roasted almond, hatch green chile seasoning (organic cheddar cheese powder (organic cheddar cheese (cultured pasteurized milk, salt, enzyme), organic nonfat milk, organic whey, salt, sodium phosphate), salt, hatch green chile pepper, evaporated cane juice, onion, parsley, natural flavor, garlic, maltodextrin, spice, spice extractive, citric acid), expeller pressed canola oil","- dry roasted almonds → dry roasted almond (singular)
- enzymes → enzyme (singular)
- parsely → parsley (86%)
- natural flavors → natural flavor (singular)
- spices → spice (singular)
- spices extractives → spice extractive (singular)"
17,Bluebird Grain Organic Grain Emmer Farro,bluebird grain organic grain emmer farro,
18,"Filling: Cooked Black Beans, Cooked Rice, Bell Peppers, Grilled Seasoned Beef and Binder Product Steak Strips (Beef, Water, Less Than 2% Potato Starch, Sea Salt, Lemon Juice Concentrate, Dried Orange Pulp, Vinegar), Cilantro, Canola Oil, Corn, Cheddar Cheese (Milk, Salt, Cheese Cultures, Enzymes), Lime Juice From Concentrate (Water, Lime Juice Concentrate, Lime Oil), Salt, Garlic, Spices. Guacamole: Hass Avocado, Sugar, Salt, Serrano Pepper, Red Bell Pepper, Ascorbic Acid, Xanthan Gum, Dehydrated Onion, Dehydrated Garlic, Dehydrated Cilantro, Citric Acid","filling: cooked black bean, cooked rice, bell pepper, grilled seasoned beef and binder product steak strip (beef, water, less than 2% potato starch, sea salt, lemon juice concentrate, dried orange pulp, vinegar), cilantro, canola oil, corn, cheddar cheese (milk, salt, cheese culture, enzyme), lime juice from concentrate (water, lime juice concentrate, lime oil), salt, garlic, spice, guacamole: hass avocado, sugar, salt, serrano pepper, red bell pepper, ascorbic acid, xanthan gum, dehydrated onion, dehydrated garlic, dehydrated cilantro, citric acid","- filling: cooked black beans → filling: cooked black bean (singular)
- bell peppers → bell pepper (singular)
- grilled seasoned beef and binder product steak strips → grilled seasoned beef and binder product steak strip (singular)
- cheese cultures → cheese culture (singular)
- enzymes → enzyme (singular)
- spices → spice (singular)"
19,Organic Whole Rye Flour,organic whole rye flour,
20,"Whole Rolled Oats, Milled Cane Sugar, Vegetable Oil (Canola And/Or Safflower And/Or Sunflower Oil), Rice Flour, Constarch, Dried Cranberries (Cranberries, Sugar, Sunflower Oil), Natural Flavor, Salt, Barley Malt Syrup, Acai Berry","whole rolled oat, milled cane sugar, vegetable oil (canola and/or safflower and/or sunflower oil), rice flour, corn starch, dried cranberry (cranberry, sugar, sunflower oil), natural flavor, salt, barley malt syrup, acai berry","- whole rolled oats → whole rolled oat (singular)
- constarch → corn starch (90%)
- dried cranberries → dried cranberry (singular)
- cranberries → cranberry (singular)"
21,Organic Pumpkin Seeds,organic pumpkin seed,- organic pumpkin seeds → organic pumpkin seed (singular)
22,100% Cold Pressed Unrefined Oil From the First Pressing of Organic Olives,100% cold pressed unrefined oil from the first pressing of organic olive,- 100% cold pressed unrefined oil from the first pressing of organic olives → 100% cold pressed unrefined oil from the first pressing of organic olive (singular)
23,"Alaskan Pink Salmon, Salt","alaskan pink salmon, salt",
24,Organic Bulgur,organic bulgur,
25,"Olives Stuffed with Pimento Paste, Water, Salt, Vinegar (Contains Sulfites), Sodium Alginate, Guar Gum","olive stuffed with pimento paste, water, salt, vinegar (contain sulfite), sodium alginate, guar gum","- olives stuffed with pimento paste → olive stuffed with pimento paste (singular)
- contains sulfites → contain sulfite (singular)"
26,"White Chicken, Chicken Broth, Salt","white chicken, chicken broth, salt",
27,"Unmilled Wehani, Japonica Black, and Long Grain Brown Rices","unmilled wehani, japonica black, and long grain brown rice",- and long grain brown rices → and long grain brown rice (singular)
28,Organic Arborio Rice,organic arborio rice,
29,"Cranberries, Sugar, Sunflower Oil","cranberry, sugar, sunflower oil",- cranberries → cranberry (singular)
30,"Whole Rolled Oats, Milled Cane Sugar, Whole Rolled Wheat, Vegetable Oil (Canola And/Or Safflower And/Or Sunflower Oil), Coconut, Honey, Almonds, Molasses, Natural Flavor, Salt, Organic Cardamon Seed, Organic Fennel Seed, Organic Fenugreek Seed, Organic Nutmeg","whole rolled oat, milled cane sugar, whole rolled wheat, vegetable oil (canola and/or safflower and/or sunflower oil), coconut, honey, almond, molasses, natural flavor, salt, organic cardamom seed, organic fennel seed, organic fenugreek seed, organic nutmeg","- whole rolled oats → whole rolled oat (singular)
- almonds → almond (singular)
- organic cardamon seed → cardamom seed (92%)"
31,"Milk Chocolate (Sugar, Cocoa Butter, Chocolate Liquor, Whole Milk Powder, Lactose, Soy Lecithin [An Emulsifier], Salt, Vanillin (An Artificial Flavor]), Pretzels (Enriched Wheat Flour [Wheat Starch, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Silicon Dioxide [Anti-Caking Agent], Syrup, Salt, Sodium Bicarbonate, Yeast])","milk chocolate (sugar, cocoa butter, chocolate liquor, whole milk powder, lactose, soy lecithin (an emulsifier), salt, vanillin (an artificial flavor)), pretzel (enriched wheat flour (wheat starch, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, silicon dioxide (anti caking agent), syrup, salt, sodium bicarbonate, yeast))","- pretzels → pretzel (singular)
- anti-caking agent → anti caking agent (94%)"
32,Organic Whole Grain Rolled Oats,organic whole grain rolled oat,- organic whole grain rolled oats → organic whole grain rolled oat (singular)
33,"Black Beans, Water, Tomato Paste, Onions, Distilled Vinegar (From Corn), Honey, Salt, Jalapenos, Spices, Garlic","black bean, water, tomato paste, onion, distilled vinegar (from corn), honey, salt, jalapeno, spice, garlic","- black beans → black bean (singular)
- onions → onion (singular)
- jalapenos → jalapeno (singular)
- spices → spice (singular)"
34,"Milk, Cream","milk, cream",
35,Natural Mountain Spring Water,natural mountain spring water,
36,"Onion, Spices (Black Pepper, Celery Seed, Cayenne Pepper, Parsley, Basil, Marjoram, Bay Leaf, Oregano, Thyme, Savory, Rosemary, Cumin, Mustard, Coriander), Garlic, Carrot, Orange Peel, Tomato Granules, Lemon Juice Powder, Oil of Lemon, Citric Acid","onion, spice (black pepper, celery seed, cayenne pepper, parsley, basil, marjoram, bay leaf, oregano, thyme, savory, rosemary, cumin, mustard, coriander), garlic, carrot, orange peel, tomato granule, lemon juice powder, oil of lemon, citric acid","- spices → spice (singular)
- tomato granules → tomato granule (singular)"
37,Whole Durum Wheat Semolina,whole durum wheat semolina,
38,"Filling: Milk, Eggs, Swiss Cheese (Cultured Part Skim Milk, Salt, Microbial Rennet), Half and Half (Milk and Cream), Mushrooms, Corn Starch, Spinach, Dehydrated Onions, Chives, Slat, Spices. Pastry: Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Butter (Cream, Salt), Sunflower Oil, Water, Salt, Soy Lecithin","filling: milk, egg, swiss cheese (cultured part skim milk, salt, microbial rennet), half and half (milk and cream), mushroom, corn starch, spinach, dehydrated onion, chive, salt, spice, pastry: enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), butter (cream, salt), sunflower oil, water, salt, soy lecithin","- eggs → egg (singular)
- mushrooms → mushroom (singular)
- dehydrated onions → dehydrated onion (singular)
- chives → chive (singular)
- slat → salt (75%)
- spices → spice (singular)"
39,"Filling: Milk, Eggs, Cheddar Cheese (Cultured Milk, Salt, Microbial Rennet, Annatto [Color]), Monterey Jack Cheese(Cultured Milk, Salt, Microbial Rennet), Green Chile Peppers (Green Chiles, Salt, Citric Acid, Calcium Chloride), Half and Half (Milk and Cream), Cornstarch, Seasoning (Salt, Chile Peppers, Spices, Paprika). Pastry: Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Butter (Cream, Salt), Sunflower Oil, Water, Salt, Soy Lecithin","filling: milk, egg, cheddar cheese (cultured milk, salt, microbial rennet, annatto (color)), monterey jack cheese (cultured milk, salt, microbial rennet), green chile pepper (green chile, salt, citric acid, calcium chloride), half and half (milk and cream), corn starch, seasoning (salt, chile pepper, spice, paprika), pastry: enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), butter (cream, salt), sunflower oil, water, salt, soy lecithin","- eggs → egg (singular)
- green chile peppers → green chile pepper (singular)
- green chiles → green chile (singular)
- cornstarch → corn starch (95%)
- chile peppers → chile pepper (singular)
- spices → spice (singular)"
40,"Almonds, Salt","almond, salt",- almonds → almond (singular)
41,"Tomatoes, Tomato Puree (Tomato Paste, Water), Filtered Water, Onions, Assorted Chiles and Peppers, Garlic, Apple Cider Vinegar, Cilantro, Spices, Salt, Distilled Vinegar","tomato, tomato puree (tomato paste, water), filtered water, onion, assorted chile and pepper, garlic, apple cider vinegar, cilantro, spice, salt, distilled vinegar","- tomatoes → tomato (singular)
- onions → onion (singular)
- assorted chiles and peppers → assorted chile and pepper (singular)
- spices → spice (singular)"
42,"Tomato Puree (Tomato Paste, Water), Tomatoes, Light Cream (Milk), Onions, Ginger, Garlic, Canola Oil, Lemon Juice Concentrate, Sea Salt, Coriander, Cumin, Fenugreek Leaves, Turmeric, Paprika, Red Pepper, Cinnamon, Cloves","tomato puree (tomato paste, water), tomato, light cream (milk), onion, ginger, garlic, canola oil, lemon juice concentrate, sea salt, coriander, cumin, fenugreek leaf, turmeric, paprika, red pepper, cinnamon, clove","- tomatoes → tomato (singular)
- onions → onion (singular)
- fenugreek leaves → fenugreek leaf (singular)
- cloves → clove (singular)"
43,"Black Beans, Water, Salt","black bean, water, salt",- black beans → black bean (singular)
44,"100 % Extra Virgin Olive 0% Soy Lecithin, and Propellant. (No Chlorofluorocarbons)","100 % extra virgin olive 0% soy lecithin, and propellant (no chlorofluorocarbon)",- no chlorofluorocarbons → no chlorofluorocarbon (singular)
45,"Tomato Puree, Tomatoes, Fresh Onions, Roasted Garlic, Garlic Puree, Red Wine Vinegar, Extra Virgin Olive Oil, Salt, Natural Roasted Garlic Flavor, Spices","tomato puree, tomato, fresh onion, roasted garlic, garlic puree, red wine vinegar, extra virgin olive oil, salt, natural roasted garlic flavor, spice","- tomatoes → tomato (singular)
- fresh onions → fresh onion (singular)
- spices → spice (singular)"
46,"Superfino Arborio Rice, Onions***, Mushroom***, Salt, Corn Starch, Autolyzed Yeast, Soy Sauce* (Soybeans, Wheat, Salt), Dextrose, Chablis Wine*, Whey (Milk Protein), Sugar, Chicken Fat*, Chervil**, Soybean Oil, Parsley**, Natural Flavor (Nonhydrolyzed Fermented Yeast), Turmeric*, Celery Extract","superfino arborio rice, onion, mushroom, salt, corn starch, autolyzed yeast, soy sauce (soybean, wheat, salt), dextrose, chablis wine, whey (milk protein), sugar, chicken fat, chervil, soybean oil, parsley, natural flavor (nonhydrolyzed fermented yeast), turmeric, celery extract","- onions → onion (singular)
- soybeans → soybean (singular)
- chablis wine → chabli wine (singular)"
47,"Ingredients: Filling (Half and Half [Milk, Cream], Cheddar Cheese [Milk, Cheese Culture, Salt, Enzymes, Annatto (Color)], Broccoli, Liquid Whole Eggs, Cornstarch, Dried Onions, Seasoning [Salt, Spices], Dried Garlic), Pastry (Enriched Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Butter [Cream, Salt], Sunflower Oil, Water, Salt), Sunflower Oil (Sunflower Oil, Sunflower Lecithin)","ingredients: filling (half and half (milk, cream), cheddar cheese (milk, cheese culture, salt, enzyme, annatto (color)), broccoli, liquid whole egg, corn starch, dried onion, seasoning (salt, spice), dried garlic), pastry (enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), butter (cream, salt), sunflower oil, water, salt), sunflower oil (sunflower oil, sunflower lecithin)","- enzymes → enzyme (singular)
- liquid whole eggs → liquid whole egg (singular)
- cornstarch → corn starch (95%)
- dried onions → dried onion (singular)
- spices → spice (singular)"
48,"Whole Wheat Flour, Unbleached Enriched Wheat Flour (Wheat Flour, Vitamin C [Ascorbic Acid as A Dough Conditioner], Enzyme, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sat, Wheat Gluten, Yeast, White Distilled Vinegar","whole wheat flour, unbleached enriched wheat flour (wheat flour, vitamin c (ascorbic acid as a dough conditioner), enzyme, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, salt, wheat gluten, yeast, white distilled vinegar",- sat → salt (86%)
49,"Peanuts, Vegetable Oil (Peanut And/Or Sunflower Seed)","peanut, vegetable oil (peanut and/or sunflower seed)",- peanuts → peanut (singular)
50,100% Liquid Egg Whites,100% liquid egg white,- 100% liquid egg whites → 100% liquid egg white (singular)
51,"Fat Free Milk, Vitamin A Palmitate, Vitamin D3","fat free milk, vitamin a palmitate, vitamin d3",
52,"Ingredients: Milk, Cream, Sugar, High Fructose Corn Syrup, Egg Yolks, Fat Free Milk, Natural and Artificial Flavors, Guar Gum, Salt, Carrageenan, Mono & Diglycerides, Spice, Yellow 5 & 6 and Red 40","ingredients: milk, cream, sugar, high fructose corn syrup, egg yolk, fat free milk, natural and artificial flavor, guar gum, salt, carrageenan, mono & diglycerides, spice, yellow 5 & 6 and red 40","- egg yolks → egg yolk (singular)
- natural and artificial flavors → natural and artificial flavor (singular)"
53,"Sparkling Apple Juice (From Ripe, Fresh, Whole Apples), Ascorbic Acid (Vitamin C)","sparkling apple juice (from ripe, fresh, whole apple), ascorbic acid (vitamin c)",- whole apples → whole apple (singular)
54,"Wine Vinegar, Cooked Grape Must","wine vinegar, cooked grape must",
55,"Wheat Bran, Corn Flour, Corn Bran, Dehydrated Cane Juice Crystals (Natural Milled Sugar), Whole Wheat Flour, Oat Bran, Whey (Milk), Salt, Caramel Color, Vitamins and Iron: Vitamin C, Iron, Niacin, Vitamin A, Vitamin B6, Riboflavin (Vitamin B2), Thiamin (Vitamin B1), Folic Acid, Vitamin D","wheat bran, corn flour, corn bran, dehydrated cane juice crystal (natural milled sugar), whole wheat flour, oat bran, whey (milk), salt, caramel color, vitamin and iron: vitamin c, iron, niacin, vitamin a, vitamin b6, riboflavin (vitamin b2), thiamin (vitamin b1), folic acid, vitamin d","- dehydrated cane juice crystals → dehydrated cane juice crystal (singular)
- vitamins and iron: vitamin c → vitamin and iron: vitamin c (singular)"
56,"Organic Wheat Flour Tortilla (Organic Wheat Flour, Oat Fiber, Baking Powder [Monocalcium Phosphate, Sodium Bicarbonate, Corn Starch, Sea Salt]), Organic Pinto Beans, Organic Brown Rice, Pasteurized Process Nonfat Cheddar Cheese (Skim Milk Cheese [Cultured Skim Milk, Salt, Enzymes], Nonfat Dry Milk, Water, Sodium Citrate, Cheddar Flavor, Xanthan Gum, Locust Bean Gum, Guar Gum, Paprika and Turmeric [Color], Tomatoes, Organic Tomato Puree, Onion, Green Chiles, Spices, Organic Tamari (Water, Organic Soybeans, Salt, Organic Alcohol), Cilantro, Garlic, Arrowroot","organic wheat flour tortilla (organic wheat flour, oat fiber, baking powder (monocalcium phosphate, sodium bicarbonate, corn starch, sea salt)), organic pinto beans, organic brown rice, pasteurized process nonfat cheddar cheese (skim milk cheese (cultured skim milk, salt, enzymes), nonfat dry milk, water, sodium citrate, cheddar flavor, xanthan gum, locust bean gum, guar gum, paprika and turmeric (color), tomatoes, organic tomato puree, onion, green chiles, spices, organic tamari (water, organic soybeans, salt, organic alcohol), cilantro, garlic, arrowroot",UNBALANCED PARENTHESES
57,"Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Malted Barley Flour), Water, High Oleic Sunflower Oil, Contains 2% or Less of the Following: For Added Freshness (Cultured Wheat Flour with Vinegar Added), Salt, Soy Lecithin (An Emulsifier), Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Citric Acid","unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, malted barley flour), water, high oleic sunflower oil, contain 2% or less of the following: for added freshness (cultured wheat flour with vinegar added), salt, soy lecithin (an emulsifier), leavening (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate), citric acid","- contains 2% or less of the following: for added freshness → contain 2% or less of the following: for added freshness (singular)
- cornstarch → corn starch (95%)"
58,"Pecans, Vegetable Oil (Peanut And/Or Soy), Sea Salt","pecan, vegetable oil (peanut and/or soy), sea salt",- pecans → pecan (singular)
59,"Sugar, Chocolate Chips (Sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin, (Emulsifier), Vanilla Extract), Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid, May Contain Malted Barley Flour), Cocoa (Processed with Alkali), Wheat Starch, Soybean Oil, Salt, Leavening (Sodium Bicarbonate, Sodium Acid Pyrophosphate, Monocalcium Phosphate)","sugar, chocolate chip (sugar, chocolate liquor, cocoa butter, soy lecithin (emulsifier), vanilla extract), unbleached enriched flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, may contain malted barley flour), cocoa (processed with alkali), wheat starch, soybean oil, salt, leavening (sodium bicarbonate, sodium acid pyrophosphate, monocalcium phosphate)",- chocolate chips → chocolate chip (singular)
60,"Sweet Potatoes, Carrots, Light Cream, Brown Sugar, Sugar, Corn Starch, Sea Salt, Natural Flavor","sweet potato, carrot, light cream, brown sugar, sugar, corn starch, sea salt, natural flavor","- sweet potatoes → sweet potato (singular)
- carrots → carrot (singular)"
61,"Whole Rolled Barley Flakes, Whole Rolled Rye Flakes, Blueberries (Blueberries, Sugar, Sunflower Oil), Crisp Rice (Rice, Sugar, Salt, Barley Malt), Raisins, Organic Corn Flakes (Organic Corn Flour, Salt), Currants, Dried Apples, Natural Blueberry Flavor","whole rolled barley flake, whole rolled rye flake, blueberry (blueberry, sugar, sunflower oil), crisp rice (rice, sugar, salt, barley malt), raisin, organic corn flake (organic corn flour, salt), currant, dried apple, natural blueberry flavor","- whole rolled barley flakes → whole rolled barley flake (singular)
- whole rolled rye flakes → whole rolled rye flake (singular)
- blueberries → blueberry (singular)
- blueberries → blueberry (singular)
- raisins → raisin (singular)
- organic corn flakes → organic corn flake (singular)
- currants → currant (singular)
- dried apples → dried apple (singular)"
62,"Whole Wheat, Sugar, Gelatin, Vitamin E (To Preserve Freshness). Vitamins & Minerals: Reduced Iron, Niacinamide, Zinc (Zinc Oxide), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B2 (Riboflavin), Vitamin B1 (Thiamine Mononitrate), Tricalcium Phosphate, Folic Acid, Vitamin B12 (Cyanocobalamin)","whole wheat, sugar, gelatin, vitamin e (to preserve freshness), vitamin & minerals: reduced iron, niacinamide, zinc (zinc oxide), vitamin b6 (pyridoxine hydrochloride), vitamin b2 (riboflavin), vitamin b1 (thiamine mononitrate), tricalcium phosphate, folic acid, vitamin b12 (cyanocobalamin)",- vitamins & minerals: reduced iron → vitamin & minerals: reduced iron (singular)
63,"Potato Flour, Expeller Pressed Sunflower And/Or Safflower Oil, Wheat Flour, Rice Flour, Tomato Powder, Spinach Powder, Sea Salt, Turmeric","potato flour, expeller pressed sunflower and/or safflower oil, wheat flour, rice flour, tomato powder, spinach powder, sea salt, turmeric",
64,"Apples, Sugar, Water, Ascorbic Acid (To Maintain Color)","apple, sugar, water, ascorbic acid (to maintain color)",- apples → apple (singular)
65,"Concentrated Crushed Tomatoes, Grated Horseradish Root, Sugar, Distilled Vinegar, Cayenne Pepper, Spices (With Soybean Oil as Processing Aid), Onion, Salt, Garlic, Xanthan Gum, Guar Gum","concentrated crushed tomato, grated horseradish root, sugar, distilled vinegar, cayenne pepper, spice (with soybean oil as processing aid), onion, salt, garlic, xanthan gum, guar gum","- concentrated crushed tomatoes → concentrated crushed tomato (singular)
- spices → spice (singular)"
66,"Tomato Puree (Water, Tomato Paste). Sugar, Distilled Vinegar, Cornstarch, Salt, Spice, Molasses, Natural Flavor, Caramel Color, Onion, Garlic","tomato puree (water, tomato paste), sugar, distilled vinegar, corn starch, salt, spice, molasses, natural flavor, caramel color, onion, garlic",- cornstarch → corn starch (95%)
67,"Tomatoes, Tomato Puree (Water, Tomato Paste), Green Bell Peppers, Onions, Jalapeno Peppers, (Distilled Vinegar, Salt, Garlic, Coriander, Paprika, Oregano","tomatoes, tomato puree (water, tomato paste), green bell peppers, onions, jalapeno peppers (distilled vinegar, salt, garlic, coriander, paprika, oregano",UNBALANCED PARENTHESES
68,"Heavy Cream, Carrageenan (Contains Milk)","heavy cream, carrageenan (contain milk)",- contains milk → contain milk (singular)
69,"Water, Mustard Seeds, Distilled Vinegar, White Wine (Contains Sulfites), Salt, Citric Acid","water, mustard seed, distilled vinegar, white wine (contain sulfite), salt, citric acid","- mustard seeds → mustard seed (singular)
- contains sulfites → contain sulfite (singular)"
70,"Certified Organic Unfiltered Apple Cider Vinegar, Diluted with Water to 5% (50 Grains) Acidity","certified organic unfiltered apple cider vinegar, diluted with water to 5% (50 grain), acidity",- 50 grains → 50 grain (singular)
